id	year	authors	title	publication	group	doi	citations	impact	learning_categories	models_implemented	key_words	abstract
11	2019	Guofu Li;Pengjia Zhu;Ning Cao;Mei Wu;Zhiyi Chen;Guangsheng Cao;Hongjun Li;Chenjing Gong	Improving the system log analysis with language model and semi-supervised classifier	Multimedia Tools and Applications	Experimental	10.1007/s11042-018-7020-3	5	1.67	semi-supervised	natural language processing;latent dirichlet allocation;multilayer perceptron	log analysis;language model;machine learning	Mining the vast amount of server-side logging data is an essential step to boost the business intelligence, as well as to facilitate the system maintenance for multimedia or IoT oriented services. Considering the vast volume of the data repository, designers of these logging-data analysis systems need to carefully balance the speed of the processing and the accuracy of the message classification. Conventional keyword-based log data monitoring and classification is sufficiently fast, but does not scale well in complex systems, especially when the target system is contributed by a large group of developers, each may differ in the way to encode the logging messages, and often carrying misleading labels. Conversely, many of the sophisticated approaches may suffer from their considerable time consumption, such that delayed processing jobs may begin to accumulate, and can hardly support the timely decision requirements. Meanwhile, we also suggest that the design of a large scale online log analysis should follow a principle that requires the least prior knowledge, in which unsupervised or semi-supervised solution is preferred. In this paper, we propose a two-stage machine learning based method, in which the system logs are regarded as the output of a quasi-natural language, pre-filtered by a perplexity score threshold, and then undergo a fine-grained classification procedure. Empirical studies on our web-services show that ou
12	2019	Xu Zhang;Yong Xu;Hongyu Zhang;Yingnong Dang;Chunyu Xie;Xinsheng Yang;Junjie Chen;Xiaoting He;Randolph Yao;Jiang-Guang Lou;Murali Chintalapati;Furao Shen;Dongmei Zhang	Robust log-based anomaly detection on unstable log data	ACM Joint Meeting on European Software Engineering Conference and Symposium on the Foundations of Software Engineering	Experimental	10.1145/3338906.3338931	173	57.67	supervised	long short-term memory	anomaly detection;log analysis;deep learning;log instability;data quality	Logs are widely used by large and complex software-intensive systems for troubleshooting. There have been a lot of studies on log-based anomaly detection. To detect the anomalies, the existing methods mainly construct a detection model using log event data extracted from historical logs. However, we find that the existing methods do not work well in practice. These methods have the close-world assumption, which assumes that the log data is stable over time and the set of distinct log events is known. However, our empirical study shows that in practice, log data often contains previously unseen log events or log sequences. The instability of log data comes from two sources: 1) the evolution of logging statements, and 2) the processing noise in log data. In this paper, we propose a new log-based anomaly detection approach, called LoдRobust. LogRobust extracts semantic information of log events and represents them as semantic vectors. It then detects anomalies by utilizing an attention-based Bi-LSTM model, which has the ability to capture the contextual information in the log sequences and automatically learn the importance of different log events. In this way, LogRobust is able to identify and handle unstable log events and sequences. We have evaluated LogRobust using logs collected from the Hadoop system and an actual online service system of Microsoft. The experimental results show that the proposed approach can well address the problem of log instability and achieve accurate and robust results on real-world, ever-changing log data.
13	2020	Rakesh Bahadur Yadav;P Santosh Kumar;Sunita Vikrant Dhavale	A Survey on Log Anomaly Detection using Deep Learning	8th International Conference on Reliability, Infocom Technologies and Optimization (Trends and Future Directions) (ICRITO)	Survey	10.1109/ICRITO48877.2020.9197818	21	10.5	NA	NA	log anomaly;deep learning;lstm;cnn;autoencoder;log parsing	Logs generated from the security systems, network devices, servers, and various software applications are one of the ways to record the operational happening of the equipment or software. These logs are assets for extracting meaningful information related to system behavior. Increasing usage of computer devices and the evolution of software systems can be considered as one of triggering acts for the concentration on the analysis of logs. Also, considering the massive volume of unstructured data, it raises the requirement for automatic analysis of these logs. The log analysis is helpful for understanding system behavior, malfunctioning detection, security scanning, and failure prediction. Machine learning(ML) and Deep Learning (DL) methods have been proved potent tools for data classification problems and have been applied to various fields of research. The purpose of this survey is to review recent research on log anomaly detection using Deep Neural Networks. Survey also presents the brief of log parsing approaches, types of datasets used for log analy
14	2020	Lukas Layer;Daniel Robert Abercrombie;Hamed Bakhshiansohi;Jennifer Adelman-McCarthy;Sharad Agarwal;Andres Vargas Hernandez;Weinan Si;Jean-Roch Vlimant	Automatic log analysis with NLP for the CMS workflow handling	EPJ Web of Conferences	Experimental	10.1051/epjconf/202024503006	3	1.5	supervised;unsupervised	feed-forward neural network;recurrent neural network;word2vec	NA	The central Monte-Carlo production of the CMS experiment utilizes the WLCG infrastructure and manages daily thousands of tasks, each up to thousands of jobs. The distributed computing system is bound to sustain a certain rate of failures of various types, which are currently handled by computing operators a posteriori. Within the context of computing operations, and operation intelligence, we propose a Machine Learning technique to learn from the operators with a view to reduce the operational workload and delays. This work is in continuation of CMS work on operation intelligence to try and reach accurate predictions with Machine Learning. We present an approach to consider the log files of the workflows as regular text to leverage modern techniques from Natural Language Processing (NLP). In general, log files contain a substantial amount of text that is not human language. Therefore, different log parsing approaches are studied in order to map the log files’ words to high dimensional vectors. These vectors are then exploited as feature space to train a model that predicts the action that the operator has to take. This approach has the advantage that the information of the log files is extracted automatically and the format of the logs can be arbitrary. In this work the performance of the log file analysis with NLP is presented and compared to previous approaches.
15	2020	Ju Peng Poh;Jun Yu Charles Lee;Kah Xuan Tan;Eric Tan	Physical Access Log Analysis: An Unsupervised Clustering Approach for Anomaly Detection	Proceedings of 2020 International Conference on Data Science and Information Technology (DSIT' 20)	Experimental	10.1145/3414274.3414285	4	2	unsupervised	two step clustering	anomaly detection;phyisical access;clustering;machine learning;data mining;data modeling	There are ample of research work on the detection of anomalies in the area of cyber security. However, only a few of them focus on physical access security. Physical access control, including employee and guest access and management system, supervised doors or location, surveillance camera, are critical checkpoints of a premise in terms of security monitoring. Breaches of these checkpoints can cause serious damage, where an insider or an outsider (e.g. through social engineering) may gain access to sensitive areas of the premise and may further result in data leakage or disruptions of services. In this paper, we characterise users based on their physical movement behavior and job profile in order to identify users with anomalous physical access behaviour using an unsupervised machine learning algorithm known as the Two Step clustering method. We further evaluate the type of risk posed by these users by comparing the user’s behaviour with its peer group and observing a set of rule-based metrics. The framework is then being compared with other recent approaches for anomaly detection of physical access logs. Lastly, this framework is deployed in a real-world environment and successfully assisted in the detection of anomalous physical access behaviour.
16	2020	Amir Farzad;T. Aaron Gulliver	Unsupervised log message anomaly detection	ICT Express	Experimental	10.1016/j.icte.2020.06.003	34	17	unsupervised	isolation forest;autoencoder networks	anomaly detection;classification;deep learning;log messages;unsupervised learning	Log messages are now broadly used in cloud and software systems. They are important for classification and anomaly detection as millions of logs are generated each day. In this paper, an unsupervised model for log message anomaly detection is proposed which employs Isolation Forest and two deep Autoencoder networks. The Autoencoder networks are used for training and feature extraction, and then for anomaly detection, while Isolation Forest is used for positive sample prediction. The proposed model is evaluated using the BGL, Openstack and Thunderbird log message data sets. The results obtained show that the number of negative samples predicted to be positive is low, especially with Isolation Forest and one Autoencoder. Further, the results are better than with other well-known models.
17	2021	Zhijun Zhao;Chen Xu;Bo Li	A LSTM-Based Anomaly Detection Model for Log Analysis	Journal of Signal Processing Systems	Experimental	10.1007/s11265-021-01644-4	5	5	unsupervised	long short-term memory	anomaly detection;log analysis	Security devices produce huge number of logs which are far beyond the processing speed of human beings. This paper introduces an unsupervised approach to detecting anomalous behavior in large scale security logs. We propose a novel feature extracting mechanism and could precisely characterize the features of malicious behaviors. We design a LSTM-based anomaly detection approach and could successfully identify attacks on two widely-used datasets. Our approach outperforms three popular anomaly detection algorithms, one-class SVM, GMM and Principal Components Analysis, in terms of accuracy and efficiency.
18	2021	Shilin He;Pinjia He;Zhuangbin Chen;Tianyi Yang;Yuxing Su;Michael R. Lyu	A Survey on Automated Log Analysis for Reliability engineering	ACM Computing Surveys	Survey	10.1145/3460345	34	34	NA	NA	NA	NA
19	2021	Xiaoyu Duan;Shi Ying;Wanli Yuan;Hailong Cheng;Xiang Yin	QLLog: A log anomaly detection method based on Q-learning algorithm	Information Processing & Management	Experimental	10.1016/j.ipm.2021.102540	7	7	reinforcement	q-learning	log anomaly detection;q-learning;reinforcement learning;data analysis	Most of the existing log anomaly detection methods suffer from scalability and numerous false positives. Besides, they cannot rank the severity level of abnormal events. This paper proposes a log anomaly detection based on Q-learning, namely QLLog, which can detect multiple types of system anomalies and rank the severity level of abnormal events. We first build a mathematical model of log anomaly detection, proving that log anomaly detection is a sequential decision problem. Second, we use the Q-learning algorithm to build the core of the anomaly detection model. This allows QLLog to automatically learn directed acyclic graph log patterns from normal execution and adjust the training model according to the reward value. Then, QLLog combines the advantages of the Q-learning algorithm and the specially designed rules to detect anomalies when log patterns deviate from the model trained from log data under normal execution. Besides, we provide a feedback mechanism and build an abnormal level table. Therefore, QLLog can adapt to new log states and log patterns. Experiments on real datasets show that the method can quickly and effectively detect system anomalies. Compared with the state of the art, QLLog can detect numerous real problems with high accuracy 95%, and its scalability outperforms other existing log-based anomaly detection methods.
20	2021	Lin Yang;Junjie Chen;Zan Wang;Weijing Wang;Jiajun Jiang;Xuayuan Dong;Wenbing Zhang	Semi-Supervised Log-Based Anomaly Detection via Probabilistic Label Estimation	IEEE/ACM 43rd International Conference on Software Engineering	Experimental	10.1109/ICSE43902.2021.00130	24	24	semi-supervised	probabilistic label estimation;gated recurrent unit	log analysis;anomaly detection;deep learning;probabilistic estimation;label	With the growth of software systems, logs have become an important data to aid system maintenance. Log-based anomaly detection is one of the most important methods for such purpose, which aims to automatically detect system anomalies via log analysis. However, existing log-based anomaly detection approaches still suffer from practical issues due to either depending on a large amount of manually labeled training data (supervised approaches) or unsatisfactory performance without learning the knowledge on historical anomalies (unsupervised and semi-supervised approaches). In this paper, we propose a novel practical log-based anomaly detection approach, PLELog, which is semi-supervised to get rid of time-consuming manual labeling and incorporates the knowledge on historical anomalies via probabilistic label estimation to bring supervised approaches’ superiority into play. In addition, PLELog is able to stay immune to unstable log data via semantic embedding and detect anomalies efficiently and effectively by designing an attention-based GRU neural network. We evaluated PLELog on two most widely-used public datasets, and the results demonstrate the effectiveness of PLELog, significantly outperforming the compared approaches with an average of 181.6% improvement in terms of Fl-score. In particular, PLELog has been applied to two real-world systems from our university and a large corporation, further demonstrating its practicability.
